Date,Company,Position,Location,Apply Here,Posting Time,Seniority Level
2023-Dec-21,Gartner,Gartner - Lead Software Engineer - Java Backend Development ,No Info,https://hirist.com/j/gartner-lead-software-engineer-java-backend-development-8-10-yrs-1278670.html?ref=kp_br_prm&jobpos=1&jobversion=2,No Info,No Info
2023-Dec-21,MakeMyTrip,MakeMyTrip - Lead Software Engineer - React.js ,No Info,https://hirist.com/j/makemytrip-lead-software-engineer-reactjs-8-14-yrs-1277728.html?ref=kp_br&jobpos=2&jobversion=2,No Info,No Info
2023-Dec-21,MakeMyTrip,MakeMyTrip - Lead Software Engineer - Java ,No Info,https://hirist.com/j/makemytrip-lead-software-engineer-java-5-8-yrs-1277711.html?ref=kp_br&jobpos=3&jobversion=2,No Info,No Info
2023-Dec-21,CarDekho,CarDekho - Engineering Manager - Full Stack Development ,No Info,https://hirist.com/j/cardekho-engineering-manager-full-stack-development-6-10-yrs-1276535.html?ref=kp_br&jobpos=4&jobversion=2,No Info,No Info
2023-Dec-21,ABB,ABB - .Net Full Stack Developer - Web Apps ,No Info,https://hirist.com/j/abb-net-full-stack-developer-web-apps-3-10-yrs-1279126.html?ref=kp_br&jobpos=5&jobversion=2,No Info,No Info
2023-Dec-21,MyOperator,MyOperator - React.js Developer - Internship ,No Info,https://hirist.com/j/myoperator-reactjs-developer-internship-0-1-yrs-1279121.html?ref=kp_br&jobpos=6&jobversion=2,No Info,No Info
2023-Dec-21,Vastu Housing Finance,Vastu Housing Finance - React.js Developer - Redux/Javascript ,No Info,https://hirist.com/j/vastu-housing-finance-reactjs-developer-reduxjavascript-3-10-yrs-1278395.html?ref=kp_br&jobpos=7&jobversion=2,No Info,No Info
2023-Dec-21,Frontend Developer,Frontend Developer - Javascript ,No Info,https://hirist.com/j/frontend-developer-javascript-5-10-yrs-1278527.html?ref=kp_br&jobpos=8&jobversion=2,No Info,No Info
2023-Dec-21,Thrillophilia,Thrillophilia - Frontend Developer - React.js/Next.js ,No Info,https://hirist.com/j/thrillophilia-frontend-developer-reactjsnextjs-4-10-yrs-1277899.html?ref=kp_br&jobpos=9&jobversion=2,No Info,No Info
2023-Dec-21,KreditBee,KreditBee - Engineering Manager ,No Info,https://hirist.com/j/kreditbee-engineering-manager-7-13-yrs-1274131.html?ref=kp_br&jobpos=10&jobversion=2,No Info,No Info
2023-Dec-21,KredX,KredX - Frontend Developer - React.js/Javascript ,No Info,https://hirist.com/j/kredx-frontend-developer-reactjsjavascript-1-2-yrs-1277759.html?ref=kp_br&jobpos=11&jobversion=2,No Info,No Info
2023-Dec-21,Trendlyne,Trendlyne - Lead Full Stack Engineer - Python/Django ,No Info,https://hirist.com/j/trendlyne-lead-full-stack-engineer-pythondjango-4-12-yrs-1277616.html?ref=kp_br&jobpos=12&jobversion=2,No Info,No Info
2023-Dec-21,Trendlyne,Trendlyne - Senior/Lead Frontend Developer - React.js/Javascript ,No Info,https://hirist.com/j/trendlyne-seniorlead-frontend-developer-reactjsjavascript-2-10-yrs-1277615.html?ref=kp_br&jobpos=13&jobversion=2,No Info,No Info
2023-Dec-21,InsuranceDekho,InsuranceDekho - Technical Lead - Full Stack Development ,No Info,https://hirist.com/j/insurancedekho-technical-lead-full-stack-development-5-10-yrs-1277206.html?ref=kp_br&jobpos=14&jobversion=2,No Info,No Info
2023-Dec-21,Engineering Manager ,Engineering Manager ,No Info,https://hirist.com/j/engineering-manager-8-12-yrs-1277144.html?ref=kp_br&jobpos=15&jobversion=2,No Info,No Info
2023-Dec-21,Stanza Living,Stanza Living - Frontend Developer - React Native ,No Info,https://hirist.com/j/stanza-living-frontend-developer-react-native-2-4-yrs-1276215.html?ref=kp_br&jobpos=16&jobversion=2,No Info,No Info
2023-Dec-21,Robosoft Technologies,Robosoft Technologies - Java Full Stack Developer - Spring/AngularJS ,No Info,https://hirist.com/j/robosoft-technologies-java-full-stack-developer-springangularjs-3-6-yrs-1275701.html?ref=kp_br&jobpos=17&jobversion=2,No Info,No Info
2023-Dec-21,Animall,Animall - Frontend Developer - Javascript/ES6 ,No Info,https://hirist.com/j/animall-frontend-developer-javascriptes6-2-5-yrs-1274606.html?ref=kp_br&jobpos=18&jobversion=2,No Info,No Info
2023-Dec-21,Robosoft Technologies,Robosoft Technologies - Java Full Stack Engineer - Applications Development ,No Info,https://hirist.com/j/robosoft-technologies-java-full-stack-engineer-applications-development-4-6-yrs-1274340.html?ref=kp_br&jobpos=19&jobversion=2,No Info,No Info
2023-Dec-21,Full Stack Developer,Full Stack Developer - Spring/React.js/AngularJS ,No Info,https://hirist.com/j/full-stack-developer-springreactjsangularjs-6-8-yrs-1273765.html?ref=kp_br&jobpos=20&jobversion=2,No Info,No Info
2023-Dec-21,Zupee,Zupee - Website Lead - Content Management System ,No Info,https://hirist.com/j/zupee-website-lead-content-management-system-5-9-yrs-1273291.html?ref=kp_br&jobpos=21&jobversion=2,No Info,No Info
2023-Dec-21,Unicommerce,Unicommerce - Lead React.js Engineer - Javascript/TypeScript ,No Info,https://hirist.com/j/unicommerce-lead-reactjs-engineer-javascripttypescript-6-12-yrs-1272744.html?ref=kp_br&jobpos=22&jobversion=2,No Info,No Info
2023-Dec-21,Jusdial,Jusdial - Senior Software Engineer - Full Stack Development ,No Info,https://hirist.com/j/jusdial-senior-software-engineer-full-stack-development-3-6-yrs-1272731.html?ref=kp_br&jobpos=23&jobversion=2,No Info,No Info
2023-Dec-21,NewsBytes,NewsBytes - Frontend Developer - HTML5/CSS3 ,No Info,https://hirist.com/j/newsbytes-frontend-developer-html5css3-2-4-yrs-1272798.html?ref=kp_br&jobpos=24&jobversion=2,No Info,No Info
2023-Dec-21,Gnani.ai,Gnani.ai - Frontend Application Developer - Product Development ,No Info,https://hirist.com/j/gnaniai-frontend-application-developer-product-development-3-6-yrs-1272579.html?ref=kp_br&jobpos=25&jobversion=2,No Info,No Info
2023-Dec-21,Matrimony.com,Matrimony.com - Full Stack Developer - TypeScript/Javascript ,No Info,https://hirist.com/j/matrimonycom-full-stack-developer-typescriptjavascript-3-8-yrs-1272049.html?ref=kp_br&jobpos=26&jobversion=2,No Info,No Info
2023-Dec-21,Matrimony.com,Matrimony.com - Full Stack Developer - Javascript/TypeScript ,No Info,https://hirist.com/j/matrimonycom-full-stack-developer-javascripttypescript-4-8-yrs-1272010.html?ref=kp_br&jobpos=27&jobversion=2,No Info,No Info
2023-Dec-21,Matrimony.com,Matrimony.com - Full Stack Developer - Node.js/React.js ,No Info,https://hirist.com/j/matrimonycom-full-stack-developer-nodejsreactjs-8-12-yrs-1272004.html?ref=kp_br&jobpos=28&jobversion=2,No Info,No Info
2023-Dec-21,EY,EY - Full Stack Developer - Java/Spring Boot ,No Info,https://hirist.com/j/ey-full-stack-developer-javaspring-boot-4-10-yrs-1271713.html?ref=kp_br&jobpos=29&jobversion=2,No Info,No Info
2023-Dec-21,Frontend Developer,Frontend Developer - React.js/Vue.js/Knockout.js ,No Info,https://hirist.com/j/frontend-developer-reactjsvuejsknockoutjs-5-10-yrs-1271499.html?ref=kp_br&jobpos=30&jobversion=2,No Info,No Info
2023-Dec-21,Senior Backend Developer,Senior Backend Developer - Python/Django Framework ,No Info,https://hirist.com/j/senior-backend-developer-pythondjango-framework-5-10-yrs-1271654.html?ref=kp_br&jobpos=31&jobversion=2,No Info,No Info
2023-Dec-21,Brillio,Brillio - Frontend Developer - React.js ,No Info,https://hirist.com/j/brillio-frontend-developer-reactjs-4-6-yrs-1269737.html?ref=kp_br&jobpos=32&jobversion=2,No Info,No Info
2023-Dec-21,Innovacer,Innovacer - Software Development Engineer III - Frontend Development ,No Info,https://hirist.com/j/innovacer-software-development-engineer-iii-frontend-development-5-7-yrs-1269380.html?ref=kp_br&jobpos=33&jobversion=2,No Info,No Info
2023-Dec-21,Tractor Junction,Tractor Junction - Director of Technology ,No Info,https://hirist.com/j/tractor-junction-director-of-technology-8-12-yrs-1269150.html?ref=kp_br&jobpos=34&jobversion=2,No Info,No Info
2023-Dec-21,Tractor Junction,Tractor Junction - Engineering Manager - React.js/Node.js ,No Info,https://hirist.com/j/tractor-junction-engineering-manager-reactjsnodejs-6-9-yrs-1269151.html?ref=kp_br&jobpos=35&jobversion=2,No Info,No Info
2023-Dec-21,Industrybuying.com,Industrybuying.com - Senior Full Stack Developer - AngularJS/Node.js ,No Info,https://hirist.com/j/industrybuyingcom-senior-full-stack-developer-angularjsnodejs-4-7-yrs-1268766.html?ref=kp_br&jobpos=36&jobversion=2,No Info,No Info
2023-Dec-21,M2P Fintech,M2P Fintech - Software Development Engineer I/II - MERN Stack ,No Info,https://hirist.com/j/m2p-fintech-software-development-engineer-iii-mern-stack-1-4-yrs-1268227.html?ref=kp_br&jobpos=37&jobversion=2,No Info,No Info
2023-Dec-21,ekincare,ekincare - Full Stack Developer - Ruby on Rails/React.js ,No Info,https://hirist.com/j/ekincare-full-stack-developer-ruby-on-railsreactjs-3-6-yrs-1268505.html?ref=kp_br&jobpos=38&jobversion=2,No Info,No Info
2023-Dec-21,Docsumo,Docsumo - Frontend Lead - React.js ,No Info,https://hirist.com/j/docsumo-frontend-lead-reactjs-5-10-yrs-1268555.html?ref=kp_br&jobpos=39&jobversion=2,No Info,No Info
2023-Dec-21,Porter,Porter - Software Development Engineer - Web Applications ,No Info,https://hirist.com/j/porter-software-development-engineer-web-applications-4-5-yrs-1265877.html?ref=kp_br&jobpos=40&jobversion=2,No Info,No Info
2023-Dec-21,Samsung,Samsung - UI Developer - React.js/Javascript ,No Info,https://hirist.com/j/samsung-ui-developer-reactjsjavascript-4-8-yrs-1265176.html?ref=kp_br&jobpos=41&jobversion=2,No Info,No Info
2023-Dec-21,FlexiLoans,FlexiLoans - Software Engineer - Backend Development ,No Info,https://hirist.com/j/flexiloans-software-engineer-backend-development-3-5-yrs-1267964.html?ref=kp_br&jobpos=42&jobversion=2,No Info,No Info
2023-Dec-21,React.js Developer,React.js Developer - Redux ,No Info,https://hirist.com/j/reactjs-developer-redux-2-5-yrs-1267741.html?ref=kp_br&jobpos=43&jobversion=2,No Info,No Info
2023-Dec-21,React.js Developer,React.js Developer - Javascript ,No Info,https://hirist.com/j/reactjs-developer-javascript-7-12-yrs-1267765.html?ref=kp_br&jobpos=44&jobversion=2,No Info,No Info
2023-Dec-21,FlexiLoans,FlexiLoans - Software Engineer - Full Stack Development ,No Info,https://hirist.com/j/flexiloans-software-engineer-full-stack-development-3-5-yrs-1267958.html?ref=kp_br&jobpos=45&jobversion=2,No Info,No Info
2023-Dec-21,XSEED Education,XSEED Education - Senior Engineer - Full Stack Development ,No Info,https://hirist.com/j/xseed-education-senior-engineer-full-stack-development-1-3-yrs-1266741.html?ref=kp_br&jobpos=46&jobversion=2,No Info,No Info
2023-Dec-21,Gripinvest,Gripinvest - Software Development Engineer - Frontend Architecture ,No Info,https://hirist.com/j/gripinvest-software-development-engineer-frontend-architecture-2-5-yrs-1266994.html?ref=kp_br&jobpos=47&jobversion=2,No Info,No Info
2023-Dec-21,Itilite Technologies,Itilite Technologies - Lead Frontend Engineer - React.js ,No Info,https://hirist.com/j/itilite-technologies-lead-frontend-engineer-reactjs-5-7-yrs-1265755.html?ref=kp_br&jobpos=48&jobversion=2,No Info,No Info
2023-Dec-21,Entri.app,Entri.app - Web Developer - Frontend Product Engineering ,No Info,https://hirist.com/j/entriapp-web-developer-frontend-product-engineering-1-3-yrs-1265907.html?ref=kp_br&jobpos=49&jobversion=2,No Info,No Info
2023-Dec-21,Text Mercato Solutions,Text Mercato Solutions - Software Development Engineer I/II - Full Stack Technologies ,No Info,https://hirist.com/j/text-mercato-solutions-software-development-engineer-iii-full-stack-technologies-1-5-yrs-1265898.html?ref=kp_br&jobpos=50&jobversion=2,No Info,No Info
